time,Rs,u2,Tmax,Tmin,RH,prec,ETo
1980-01-01,11.6,1.3,24.8,16.7,88.9,12.5,2.5
1980-01-02,15.3,1.6,23.3,14.7,78.5,40.0,3.2
1980-01-03,20.8,1.8,25.5,13.8,77.1,0.7,4.3
1980-01-04,21.9,1.0,26.6,14.2,80.8,0.0,4.3
1980-01-05,24.5,1.4,26.2,14.2,76.6,0.0,4.7
1980-01-06,28.0,1.5,26.6,13.0,74.7,0.0,5.3
1980-01-07,21.7,1.6,27.2,14.7,74.3,0.0,4.5
1980-01-08,12.5,1.5,24.3,16.5,82.0,1.3,2.9
1980-01-09,16.3,1.9,26.0,16.6,80.9,1.9,3.5
1980-01-10,11.9,1.5,25.0,17.2,83.1,2.2,2.7
1980-01-11,10.6,1.1,26.9,17.0,93.1,6.2,2.3
1980-01-12,10.5,0.8,21.1,16.6,94.3,23.8,2.1
1980-01-13,10.5,1.1,20.7,16.5,92.5,49.1,2.2
1980-01-14,14.7,2.1,24.7,15.8,85.3,8.4,3.0
1980-01-15,11.0,1.6,23.2,16.2,89.8,0.3,2.4
1980-01-16,10.5,1.6,20.0,17.0,96.6,9.8,2.0
1980-01-17,10.6,1.2,21.3,16.2,92.1,52.6,2.2
1980-01-18,10.8,0.8,23.9,17.0,92.9,26.7,2.3
1980-01-19,17.4,1.3,26.2,17.0,84.8,23.3,3.6
1980-01-20,18.4,1.5,29.1,17.5,82.2,5.4,4.0
1980-01-21,18.0,1.0,28.6,17.5,85.0,6.3,3.8
1980-01-22,17.6,1.2,27.8,17.2,89.8,6.8,3.5
1980-01-23,16.2,1.3,28.0,16.2,83.6,37.3,3.4
1980-01-24,16.6,1.4,28.8,17.1,84.2,15.4,3.6
1980-01-25,13.7,1.2,26.6,17.7,88.5,6.7,3.0
1980-01-26,13.3,1.6,26.9,17.8,87.5,18.9,2.9
1980-01-27,17.2,1.2,27.6,18.2,88.0,4.6,3.6
1980-01-28,19.1,1.7,29.9,18.2,83.1,9.8,4.1
1980-01-29,17.0,2.0,25.9,17.3,83.7,4.2,3.7
1980-01-30,22.3,1.4,25.7,14.4,80.6,8.1,4.3
1980-01-31,17.3,0.8,27.8,15.7,82.7,0.0,3.5
1980-02-01,17.3,1.6,28.1,17.8,84.0,8.4,3.6
1980-02-02,11.3,1.3,26.9,18.6,89.5,7.0,2.5
1980-02-03,18.0,2.2,27.7,17.7,78.7,16.6,4.0
1980-02-04,26.2,1.5,26.9,16.2,76.7,0.0,5.2
1980-02-05,27.7,1.3,28.3,14.9,75.6,0.0,5.4
1980-02-06,25.5,0.9,29.6,15.0,74.0,0.0,5.1
1980-02-07,25.2,1.3,30.7,16.7,71.6,0.0,5.4
1980-02-08,20.9,1.2,29.7,18.3,80.0,4.6,4.3
1980-02-09,23.6,1.8,27.1,17.3,76.3,0.6,4.9
1980-02-10,19.7,1.8,27.1,17.2,74.8,0.4,4.2
1980-02-11,19.8,2.1,27.6,15.6,76.8,0.0,4.4
1980-02-12,24.0,1.8,30.3,14.9,72.5,0.0,5.1
1980-02-13,10.6,1.5,26.5,16.8,88.4,0.0,2.5
1980-02-14,13.3,1.9,25.6,15.6,82.4,8.4,3.0
1980-02-15,15.2,1.6,25.3,15.5,83.7,0.2,3.1
1980-02-16,10.1,1.6,24.5,15.8,87.5,1.7,2.3
1980-02-17,13.9,1.1,24.8,15.6,85.1,8.5,2.9
1980-02-18,10.6,1.5,23.1,16.7,90.0,7.1,2.2
1980-02-19,16.1,1.6,24.4,16.1,88.8,6.7,3.2
1980-02-20,17.1,1.3,25.4,14.8,82.1,10.4,3.5
1980-02-21,17.4,1.7,27.3,15.9,79.6,4.9,3.8
1980-02-22,13.6,2.2,27.1,17.4,84.5,3.0,3.2
1980-02-23,19.6,1.0,28.3,16.3,80.2,5.6,4.0
1980-02-24,22.5,1.3,28.0,15.9,78.0,0.5,4.5
1980-02-25,20.7,1.5,28.3,16.3,78.2,0.0,4.2
1980-02-26,20.2,1.7,28.4,15.5,76.8,1.7,4.3
1980-02-27,19.9,1.7,27.6,16.6,76.7,1.5,4.1
1980-02-28,21.4,1.3,28.0,16.4,76.4,0.6,4.3
1980-02-29,25.0,1.4,28.3,16.3,75.7,0.0,5.0
1980-03-01,22.7,1.2,28.5,15.4,75.9,0.0,4.5
1980-03-02,17.9,1.1,26.9,16.6,77.1,0.0,3.7
1980-03-03,18.1,1.1,27.6,16.4,77.7,0.0,3.8
1980-03-04,18.9,1.4,27.3,15.4,76.0,0.0,4.0
1980-03-05,19.3,1.3,27.0,14.9,77.9,0.0,4.0
1980-03-06,23.0,1.5,27.6,14.6,69.8,0.0,4.6
1980-03-07,24.3,1.3,28.2,13.9,72.0,0.0,4.7
1980-03-08,24.2,1.2,30.1,14.7,68.6,0.0,4.9
1980-03-09,23.3,1.3,30.4,15.2,73.9,0.0,4.8
1980-03-10,21.4,1.7,30.0,15.7,72.6,0.8,4.6
1980-03-11,16.7,1.5,28.9,16.1,79.1,7.3,3.6
1980-03-12,14.4,1.7,27.6,17.0,83.7,15.4,3.3
1980-03-13,12.4,1.4,26.8,17.4,85.5,8.4,2.8
1980-03-14,11.6,1.4,26.9,16.5,88.4,7.0,2.5
1980-03-15,15.2,1.4,27.5,17.1,83.5,4.8,3.2
1980-03-16,17.3,1.5,26.9,17.8,80.7,17.6,3.6
1980-03-17,18.9,1.2,27.2,14.1,78.1,0.0,3.8
1980-03-18,19.4,1.2,27.6,15.0,77.5,0.0,3.9
1980-03-19,16.4,1.1,26.8,16.1,77.4,0.3,3.4
1980-03-20,22.5,1.0,27.4,14.1,71.2,0.0,4.3
1980-03-21,22.5,0.9,28.7,13.8,70.7,0.0,4.3
1980-03-22,22.1,1.0,29.6,15.0,69.0,0.0,4.4
1980-03-23,22.5,0.8,29.2,15.5,70.0,0.0,4.4
1980-03-24,20.0,1.3,28.5,15.0,69.4,0.0,4.2
1980-03-25,22.5,1.3,28.3,13.6,66.9,0.0,4.5
1980-03-26,22.2,1.2,28.8,13.8,69.1,0.0,4.4
1980-03-27,20.5,1.1,29.3,14.2,63.7,0.0,4.3
1980-03-28,20.0,0.8,29.5,14.2,66.1,0.0,4.0
1980-03-29,19.9,1.2,30.0,14.4,66.5,0.0,4.2
1980-03-30,16.9,0.9,29.5,14.7,77.9,1.1,3.5
1980-03-31,16.2,2.1,27.7,15.6,86.8,6.4,3.3
1980-04-01,16.7,1.3,25.8,14.1,80.0,0.1,3.3
1980-04-02,9.9,0.9,25.2,14.2,86.9,0.0,2.1
1980-04-03,9.1,0.8,23.2,16.4,89.8,22.5,1.9
1980-04-04,8.4,1.4,24.5,16.8,89.3,9.7,1.9
1980-04-05,8.2,1.1,21.7,16.4,92.4,26.2,1.7
1980-04-06,8.8,0.9,22.2,16.5,90.0,21.4,1.8
1980-04-07,11.8,1.3,24.0,16.1,86.5,12.4,2.4
1980-04-08,11.1,1.1,26.3,16.8,86.8,9.2,2.4
1980-04-09,13.2,0.9,27.8,17.4,85.8,8.3,2.7
1980-04-10,10.8,1.2,27.4,17.2,86.6,0.9,2.3
1980-04-11,11.1,1.2,27.4,17.5,87.4,1.2,2.4
1980-04-12,14.8,1.1,28.3,17.4,83.6,8.4,3.1
1980-04-13,9.0,1.1,26.5,17.0,88.1,3.8,2.0
1980-04-14,14.2,1.0,26.9,16.6,85.5,24.0,2.8
1980-04-15,11.4,1.5,26.4,16.8,87.1,0.6,2.4
1980-04-16,9.5,1.4,23.0,16.3,91.2,6.0,2.0
1980-04-17,9.1,1.3,21.6,15.9,87.6,0.0,1.8
1980-04-18,10.7,2.1,22.3,15.9,86.5,1.4,2.2
1980-04-19,17.2,0.9,24.3,13.4,76.5,0.0,3.1
1980-04-20,17.1,0.8,25.6,12.1,85.5,0.0,3.0
1980-04-21,13.7,1.0,24.8,12.4,80.8,0.0,2.6
1980-04-22,19.7,1.1,25.1,12.5,81.5,0.0,3.4
1980-04-23,18.1,1.3,24.9,13.2,75.8,0.0,3.3
1980-04-24,17.0,1.1,24.1,11.4,77.2,0.0,2.9
1980-04-25,16.8,1.6,23.3,11.4,80.9,0.0,2.9
1980-04-26,17.1,1.1,23.4,10.9,81.9,0.0,2.9
1980-04-27,13.3,1.0,24.1,12.9,76.1,0.1,2.5
1980-04-28,16.3,1.0,23.9,13.2,83.5,0.0,2.8
1980-04-29,11.8,1.1,24.4,12.7,83.8,0.0,2.3
1980-04-30,16.9,1.1,24.8,12.6,83.4,0.0,2.9
1980-05-01,17.1,1.1,26.5,11.5,81.0,0.0,3.0
1980-05-02,10.1,0.8,25.6,12.3,83.8,3.0,2.0
1980-05-03,8.6,1.0,24.1,15.7,86.4,4.1,1.9
1980-05-04,11.5,0.9,23.5,14.3,84.1,3.1,2.1
1980-05-05,17.1,0.9,25.9,10.4,82.0,0.5,2.9
1980-05-06,16.0,0.6,25.5,11.0,81.3,0.3,2.7
1980-05-07,16.1,0.9,26.4,11.1,81.1,0.0,2.8
1980-05-08,16.7,0.6,24.6,11.2,84.0,0.0,2.7
1980-05-09,13.0,1.4,24.6,12.0,81.4,0.0,2.5
1980-05-10,13.9,1.5,24.6,11.6,82.9,0.3,2.5
